Office,State,state_abb,CD,district_num,district_id,ID
House,South Carolina,SC,SC-06,6,SC06,350
House,South Carolina,SC,SC-07,7,SC07,351
House,South Dakota,SD,SD-AL,0,SD00,352
House,Tennessee,TN,TN-01,1,TN01,353
House,Tennessee,TN,TN-03,3,TN03,354
House,Tennessee,TN,TN-04,4,TN04,355
House,Tennessee,TN,TN-05,5,TN05,356
House,Tennessee,TN,TN-02,2,TN02,357
House,Tennessee,TN,TN-06,6,TN06,358
House,Tennessee,TN,TN-07,7,TN07,359
House,Tennessee,TN,TN-08,8,TN08,360
House,Tennessee,TN,TN-09,9,TN09,361
House,Texas,TX,TX-01,1,TX01,362
House,Texas,TX,TX-02,2,TX02,363
House,Texas,TX,TX-03,3,TX03,364
House,Texas,TX,TX-04,4,TX04,365
House,Texas,TX,TX-05,5,TX05,366
House,Texas,TX,TX-06,6,TX06,367
House,Texas,TX,TX-07,7,TX07,368
House,Texas,TX,TX-08,8,TX08,369
House,Texas,TX,TX-09,9,TX09,370
House,Texas,TX,TX-10,10,TX10,371
House,Texas,TX,TX-11,11,TX11,372
House,Texas,TX,TX-12,12,TX12,373
House,Texas,TX,TX-13,13,TX13,374
House,Texas,TX,TX-14,14,TX14,375
House,Texas,TX,TX-15,15,TX15,376
House,Texas,TX,TX-16,16,TX16,377
House,Texas,TX,TX-17,17,TX17,378
House,Texas,TX,TX-18,18,TX18,379
House,Texas,TX,TX-19,19,TX19,380
House,Texas,TX,TX-20,20,TX20,381
House,Texas,TX,TX-21,21,TX21,382
House,Texas,TX,TX-22,22,TX22,383
House,Texas,TX,TX-23,23,TX23,384
House,Texas,TX,TX-24,24,TX24,385
House,Texas,TX,TX-25,25,TX25,386
House,Texas,TX,TX-26,26,TX26,387
House,Texas,TX,TX-27,27,TX27,388
House,Texas,TX,TX-28,28,TX28,389
House,Texas,TX,TX-29,29,TX29,390
House,Texas,TX,TX-30,30,TX30,391
House,Texas,TX,TX-31,31,TX31,392
House,Texas,TX,TX-32,32,TX32,393
House,Texas,TX,TX-33,33,TX33,394
House,Texas,TX,TX-34,34,TX34,395
House,Texas,TX,TX-35,35,TX35,396
House,Texas,TX,TX-36,36,TX36,397
House,Utah,UT,UT-01,1,UT01,398
House,Utah,UT,UT-02,2,UT02,399
House,Utah,UT,UT-03,3,UT03,400
House,Utah,UT,UT-04,4,UT04,401
House,Vermont,VT,VT-AL,0,VT00,402
House,Virginia,VA,VA-01,1,VA01,403
House,Virginia,VA,VA-02,2,VA02,404
House,Virginia,VA,VA-03,3,VA03,405
House,Virginia,VA,VA-04,4,VA04,406
House,Virginia,VA,VA-05,5,VA05,407
House,Virginia,VA,VA-06,6,VA06,408
House,Virginia,VA,VA-07,7,VA07,409
House,Virginia,VA,VA-08,8,VA08,410
House,Virginia,VA,VA-09,9,VA09,411
House,Virginia,VA,VA-10,10,VA10,412
House,Virginia,VA,VA-11,11,VA11,413
House,Washington,WA,WA-01,1,WA01,414
House,Washington,WA,WA-02,2,WA02,415
House,Washington,WA,WA-03,3,WA03,416
House,Washington,WA,WA-04,4,WA04,417
House,Washington,WA,WA-05,5,WA05,418
House,Washington,WA,WA-06,6,WA06,419
House,Washington,WA,WA-07,7,WA07,420
House,Washington,WA,WA-08,8,WA08,421
House,Washington,WA,WA-09,9,WA09,422
House,Washington,WA,WA-10,10,WA10,423
House,West Virginia,WV,WV-01,1,WV01,424
House,West Virginia,WV,WV-02,2,WV02,425
House,West Virginia,WV,WV-03,3,WV03,426
House,Wisconsin,WI,WI-01,1,WI01,427
House,Wisconsin,WI,WI-02,2,WI02,428
House,Wisconsin,WI,WI-03,3,WI03,429
House,Wisconsin,WI,WI-04,4,WI04,430
House,Wisconsin,WI,WI-05,5,WI05,431
House,Wisconsin,WI,WI-06,6,WI06,432
House,Wisconsin,WI,WI-08,8,WI08,433
House,Wisconsin,WI,WI-07,7,WI07,434
House,Wyoming,WY,WY-AL,0,WY00,435
