state,state_abb,CD,district,ID,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,
Maryland,MD,MD-06,6,194,535474,385778,39043,67626,38092,3164,353,
Maryland,MD,MD-07,7,195,577960,205539,17114,337207,12664,4515,235,
Maryland,MD,MD-08,8,196,496897,280619,58480,84895,68698,2442,162,
Maine,ME,ME-01,1,197,529820,502355,7937,6435,7805,4788,82,
Maine,ME,ME-02,2,198,540725,515515,6374,4455,3933,10128,42,
Michigan,MI,MI-01,1,199,621910,577543,8815,10005,3491,21628,338,
Michigan,MI,MI-02,2,200,603307,557588,17314,15624,3457,8965,56,
Michigan,MI,MI-03,3,201,554280,441607,32584,61674,11816,5657,181,
Michigan,MI,MI-04,4,202,569708,471495,30482,50110,11374,5838,145,
Michigan,MI,MI-05,5,203,587815,530879,19289,26691,4504,5888,60,
Michigan,MI,MI-06,6,204,555741,436160,18365,58288,37524,4609,153,
Michigan,MI,MI-07,7,205,592061,512205,24928,35433,13197,5921,126,
Michigan,MI,MI-08,8,206,599413,471373,24361,90921,6273,6298,103,
Michigan,MI,MI-09,9,207,589348,545515,15496,16462,6720,4784,56,
Michigan,MI,MI-10,10,208,575999,460528,11705,73758,25055,4332,162,
Michigan,MI,MI-11,11,209,570964,433253,16804,83862,31629,4424,320,
Michigan,MI,MI-12,12,210,545983,261784,12447,257654,8759,5637,116,
Michigan,MI,MI-13,13,211,562134,237451,32382,275101,11781,4695,302,
Minnesota,MN,MN-01,1,212,516710,472445,17052,12488,10842,3496,164,
Minnesota,MN,MN-02,2,213,494461,424534,18745,23720,21896,4157,217,
Minnesota,MN,MN-03,3,214,501077,419216,11604,34533,31154,3420,126,
Minnesota,MN,MN-04,4,215,504211,379533,21890,46019,50315,5262,159,
Minnesota,MN,MN-05,5,216,510296,372906,24625,76668,26040,8822,180,
Minnesota,MN,MN-06,6,217,505274,462291,10223,15420,12849,4154,69,
Minnesota,MN,MN-07,7,218,527622,495896,14117,5986,4331,7390,274,
Minnesota,MN,MN-08,8,219,553728,508324,7793,7295,5244,24802,201,
